abomasite	abomasnow	mega
absolite	absol	mega
aerodactylite	aerodactyl	mega
aggronite	aggron	mega
alakazite	alakazam	mega
aloraichium-z	raichu-alola	z
altarianite	altaria	mega
ampharosite	ampharos	mega
audinite	audino	mega
banettite	banette	mega
beedrillite	beedrill	mega
blastoisinite	blastoise	mega
blazikenite	blaziken	mega
blue-orb	kyogre	primal
cameruptite	camerupt	mega
charizardite-x	charizard	mega
charizardite-y	charizard	mega
decidium-z	decidueye	z
diancite	diancie	mega
eevium-z	eevee	z
galladite	gallade	mega
garchompite	garchomp	mega
gardevoirite	gardevoir	mega
gengarite	gengar	mega
glalitite	glalie	mega
gyaradosite	gyarados	mega
heracronite	heracross	mega
houndoominite	houndoom	mega
incinium-z	incineroar	z
kangaskhanite	kangaskhan	mega
kommonium-z	kommo-o-totem	z
kommonium-z	kommo-o	z
latiasite	latias	mega
latiosite	latios	mega
lopunnite	lopunny	mega
lucarionite	lucario	mega
lunalium-z	lunala	z
lunalium-z	necrozma-dawn-wings	z
lycanium-z	lycanroc-dusk	z
lycanium-z	lycanroc-midnight	z
lycanium-z	lycanroc	z
manectite	manectric	mega
marshadium-z	marshadow	z
mawilite	mawile	mega
medichamite	medicham	mega
metagrossite	metagross	mega
mewnium-z	mew	z
mewtwonite-x	mewtwo	mega
mewtwonite-y	mewtwo	mega
mimikium-z	mimikyu-busted-totem	z
mimikium-z	mimikyu-busted	z
mimikium-z	mimikyu-totem	z
mimikium-z	mimikyu	z
pidgeotite	pidgeot	mega
pikanium-z	pikachu	z
pikashunium-z	pikachu-alola	z
pikashunium-z	pikachu-hoenn	z
pikashunium-z	pikachu-kalos	z
pikashunium-z	pikachu-original	z
pikashunium-z	pikachu-partner	z
pikashunium-z	pikachu-sinnoh	z
pikashunium-z	pikachu-unova	z
pinsirite	pinsir	mega
primarium-z	primarina	z
red-orb	groudon	primal
sablenite	sableye	mega
salamencite	salamence	mega
sceptilite	sceptile	mega
scizorite	scizor	mega
sharpedonite	sharpedo	mega
slowbronite	slowbro	mega
snorlium-z	snorlax	z
solganium-z	necrozma-dusk-mane	z
solganium-z	solgaleo	z
steelixite	steelix	mega
swampertite	swampert	mega
tapunium-z	tapubulu	z
tapunium-z	tapufini	z
tapunium-z	tapukoko	z
tapunium-z	tapulele	z
tyranitarite	tyranitar	mega
ultranecrozium-z	necrozma-ultra	z
venusaurite	venusaur	mega
